jobTitle,jobCompany,jobLocation,jobPostDate,today,jobSalary,jobSummary,jobURL
Deal Clerk,Oakville Honda,"Oakville, ON",1 day ago,2021-01-21,,"Post manufacturer vehicle invoices and Dealer Trade invoices.
We offer a “promote from within culture”, training, solid pay plans, benefits and perks including…",http://indeed.com/rc/clk?jk=dad1c2e6f04cce20&fccid=28091b9a73add85b&vjs=3
Operations Program Assistant,Niagra Regional Housing,"Thorold, ON",Today,2021-01-21,"$41,990 - $49,400 a year","Ensuring the answering contact list for emergency calls is up to date.
Completing print shop orders, including applications, annual review forms and other…",http://indeed.com/rc/clk?jk=4ce653e1158cb5d6&fccid=62632f970fa4bf2c&vjs=3
Mechanical Assembler,Transway Systems Inc,"Hamilton, ON",Today,2021-01-21,,"Experienced 12-volt truck wiring (AN ASSET), installing brake lights, tail lights, signal lights beacon lights, back up cameras, and running electrical wiring…",http://indeed.com/company/Transway-Systems-Inc/jobs/Mechanical-Assembler-025a2fcdaa355f0f?fccid=6d3ee027bc95fc66&vjs=3
Document Processing Clerk,York University,"Toronto, ON",1 day ago,2021-01-21,$16.11 an hour,The Document Processing Clerk provides clerical support to the OsgoodePD's admissions team by processing student applications and general data entry.,http://indeed.com/rc/clk?jk=1cf1a005fbcddd0d&fccid=78311129365d34c7&vjs=3
Produce Assistant,Hendriks valu-mart,"Niagara-on-the-Lake, ON",Today,2021-01-21,$14.50 an hour,"Must have relevant Grocery store experience.
Produce Receiving; lifting 50+ lbs., Merchandising, stocking and prep work required.",http://indeed.com/company/Hendriks-valu--mart/jobs/Produce-Assistant-8538c47d41e02380?fccid=81d48236905c8182&vjs=3
Installation Technician - Water Treatment,Canadian Water Conditioning Inc.,"Kitchener, ON",Just posted,2021-01-21,$24 - $26 an hour,"Must be able to provide detailed and accurate documentation of any and all service work performed, both on written or electronic tablet work orders.",http://indeed.com/company/Canadian-Water-Conditioning-Inc./jobs/Installation-Technician-a45cd7424e8fcdeb?fccid=f4ebd25f4fe73f3b&vjs=3
Grocery Team Member,IC Foodworld,"Mississauga, ON",3 days ago,2021-01-21,$14 an hour,"Must be knowledgeable of the operations of a grocery store and be familiar with mainstream grocery items.
To keep our Team Members as safe as possible, we've…",http://indeed.com/company/2612532-Ontario-Inc./jobs/Grocery-Team-Member-cdd9162128d308b4?fccid=04dba050678e7f87&vjs=3
Vessels Superintendant,QSL,"Hamilton, ON",1 day ago,2021-01-21,,"Enforce work methods by ensuring compliance with health, safety, security and environmental standards;
Ensure synergy between the various stakeholders during…",http://indeed.com/company/QSL-Canada/jobs/Vessel-Superintendant-1c379924d7f2116c?fccid=931c25a29b5f2c5d&vjs=3
Primary Care Paramedic - Part Time,County of Essex,"Essex, ON",Today,2021-01-21,$34.49 - $40.52 an hour,"Position Title Primary Care Paramedic - Part Time Posting Type Permanent.
Posting Status Active Position Length Part Time.",http://indeed.com/rc/clk?jk=5b896e33ac59737b&fccid=68d22a74016d4198&vjs=3
Logistics & Packaging Technician,Bay Area Research Logistics,"Hamilton, ON",8 days ago,2021-01-21,,"Ability to follow specific instructions with a high degree of accuracy.
The Logistics & Packaging Technician* will be responsible for performing clinical trial…",http://indeed.com/company/Bay-Area-Records/jobs/Logistic-Packaging-Technician-185d0b0d2585d61f?fccid=7501f3498bc122a6&vjs=3
Office Administrator/Operations Assistant,BIRD'S MOVING & STORAGE,"St. Catharines, ON",1 day ago,2021-01-21,,This position is a support position and will require you to work closely with our current team members in addition to being the first contact for new and…,http://indeed.com/company/BIRD'S-MOVING-&-STORAGE/jobs/Office-Administrator-Operation-Assistant-5832746bfb8dbe6b?fccid=0c9bfe411fa794a2&vjs=3
"Team Lead, COVID-19 Response - 21-0042",Public Health Ontario,"Hamilton, ON",3 days ago,2021-01-21,,Manage staff to carry out laboratory analysis according to established methods and meeting Quality Assurance (QA) standards and Key Performance Indicators (KPI)…,http://indeed.com/rc/clk?jk=d6e473f3e38a8272&fccid=734c0fa2088c6315&vjs=3
dispatch logistician,Bowling Green Logistic Inc.,"Milton, ON",2 days ago,2021-01-21,$25 - $27 an hour,"Arrange for maintenance and repair work.
Plan, organize and oversee operational logistics of the organization.
Co-ordinate, assign and review work.",http://indeed.com/rc/clk?jk=b32c30b08e4d95b1&fccid=42e61d62a94b2c53&vjs=3
Budtender,Queen George Cannabis,"Hamilton, ON",18 days ago,2021-01-21,$15 an hour,"Always be willing to help, assist, and direct customers and answer any questions they may have.
Ensure a safe working area for all colleagues and customers,…",http://indeed.com/company/Queen-George-Cannabis/jobs/Budtender-9d353fc6ce8aa25e?fccid=3d9e6923a28030ea&vjs=3
Customer Service Representative,COSCO SHIPPING Lines (Canada) Inc.,"Mississauga, ON",8 days ago,2021-01-21,"$33,000 - $40,000 a year","Assist customers to register and use of our online system.
Follow-up with customers to ensure shipments are sent or released promptly.",http://indeed.com/company/COSCO-SHIPPING-Lines-(Canada)-Inc./jobs/Customer-Service-Representative-0c2801243b676582?fccid=9ad2bed4366c48b3&vjs=3
"Manager, Sports & Media Rotational Program",Rogers Communications,"Toronto, ON",Just posted,2021-01-21,,"Ability to engage and build deep rooted relationships both internally and externally (e.g., corporations, community leaders, clients, technology vendors,…",http://indeed.com/rc/clk?jk=67f3d2a682b0ccb2&fccid=b5583ca8df6a68c3&vjs=3
Desktop EUC L1,Iron Systems,"Brampton, ON",2 days ago,2021-01-21,,23.To maintain a first-class level of customer service ensuring that all customers are treated efficiently and in an appropriate manner.,http://indeed.com/rc/clk?jk=43f1aa6530698d89&fccid=39e7cc3fd9e2cd7d&vjs=3
administrative assistant,Crown Floors Decor,"Brampton, ON",1 day ago,2021-01-21,$25 an hour,"Answer telephone and relay telephone calls and messages.
Open and distribute regular and electronic incoming mail and other material and co-ordinate the flow of…",http://indeed.com/rc/clk?jk=1a7776613346132c&fccid=2682babb1ec2cc7f&vjs=3
Cashier,Healthy Planet Canada,"Hamilton, ON",10 days ago,2021-01-21,,Our front end cashier will assist with the operations of the store by providing excellent customer service when processing transactions and being the first and…,http://indeed.com/rc/clk?jk=753f30fcabbae7c3&fccid=577e0d50a4cf9e7a&vjs=3
Overnight Crew Associate,Lowe's,"Ottawa, ON",Just posted,2021-01-21,,"Also responsible for providing excellent customer service by greeting customers and assisting customers in locating, selecting, demonstrating, and loading of…",http://indeed.com/rc/clk?jk=f9f4f2d4b1f80b30&fccid=9a55d5dc8c10ef41&vjs=3
car assembler,NT Temps Inc,"Tottenham, ON",6 days ago,2021-01-21,$16.20 an hour,"No degree, certificate or diploma.
Clean and maintain work space.
Up to 13.5 kg (30 lbs).",http://indeed.com/rc/clk?jk=a515400130475975&fccid=8c080af0cb5138da&vjs=3
Contract Order Filler,TVH Parts Co.,"Mississauga, ON",Just posted,2021-01-21,,"Pack orders in a manner which ensures safe transportation within the courier system.
Ship orders as per desired method of shipping.",http://indeed.com/rc/clk?jk=f30fd93a894286f4&fccid=7b2650955c11888c&vjs=3
Design Assistant,York University,"Toronto, ON",2 days ago,2021-01-21,$21.40 an hour,"Advanced skills in Wordpress, presentation software, email marketing software, Adobe Creative Suite and common social media platforms Proven skills and…",http://indeed.com/rc/clk?jk=e4983ffe55095f8f&fccid=78311129365d34c7&vjs=3
Jr. System Administrator,Gyptech,"Burlington, ON",7 days ago,2021-01-21,,"A bachelor’s degree or diploma in a technology related field is preferred.
Our team of highly experienced management, engineering, operations and manufacturing…",http://indeed.com/company/Gyptech/jobs/Junior-System-Administrator-bdeaaec31598c98d?fccid=a75e830c44689284&vjs=3
Shipper,WIKA Instruments Ltd,"Oakville, ON",Just posted,2021-01-21,$16 - $19 an hour,"Prioritize and accurately process customers’ orders based on shipment deadlines and carrier cut-offs.
The candidate must provide accurate and timely shipping of…",http://indeed.com/company/WIKA-Instruments-Ltd/jobs/Shipper-35ff8679d3912b0e?fccid=aad4737dc83b7a9c&vjs=3
It Administrator,EDge Interactive,"Toronto, ON",Just posted,2021-01-21,"$50,221 - $75,801 a year","Able to work off-hours when required to allow system upgrades/maintenance outside of production windows.
This is a part-time position requiring 5 - 10 hours per…",http://indeed.com/company/EDge-Interactive/jobs/IT-Administrator-da8e18c298dd650f?fccid=47dea535bf908736&vjs=3
Lead Coordinator,The GoWylde Team | Re/Max Real Estate Centre Inc,"Guelph, ON",Just posted,2021-01-21,$18 - $19 an hour,"They utilize the latest staging techniques, photography and social media marketing strategy to deliver comprehensive service tailored specifically to their…",http://indeed.com/rc/clk?cmp=The-GoWylde-Team-%7C-Re%2FMax-Real-Estate-Centre-Inc&ti=Lead+Coordinator&jk=273feba8b90c6013&fccid=e8d579c0cf8c5637&vjs=3
Policy Change Administrator,The Co-operators,"Burlington, ON",2 days ago,2021-01-21,,"Conduct a quality assurance check of incoming change requests, determine the type of change request, evaluate if the request is valid and what information is…",http://indeed.com/rc/clk?jk=48f80fd865fd8f45&fccid=5eeae2bcce6835db&vjs=3
Manufacturing Associate,Highbury Pools Ltd,"London, ON",Today,2021-01-21,$20 an hour,"Full time custom product manufacturing position for a growing company.
No experience necessary, training will be provided.",http://indeed.com/company/Highbury-Pools-Ltd/jobs/Manufacturing-Associate-9229b587b837a331?fccid=a12f2fd8b0103932&vjs=3
"manager, security service",Ametos CA LTD.,"Richmond Hill, ON",2 days ago,2021-01-21,"$115,000 a year","Direct and advise staff in the development and implementation of service quality assessment strategies.
Develop action plans, provide expertise in response to…",http://indeed.com/rc/clk?jk=52e6e0b21cddea71&fccid=f91adcba14b573f7&vjs=3
HR BUSINESS ADVISOR,"Ministry of Labour, Training and Skills Developmen...","Toronto, ON",10 days ago,2021-01-21,"$73,402 - $108,164 a year",You have strategic planning skills to effectively translate OPS and ministry priorities into integrated strategies and develop implementation and evaluation…,http://indeed.com/rc/clk?jk=7b1145e7c1f97f80&fccid=50fff88545069ba4&vjs=3
Community Emergency Management Coordinator,The City of Guelph,"Guelph, ON",6 days ago,2021-01-21,"$75,634 - $94,543 a year","Develop and facilitate sessions for service areas in the development of business continuity and continuity of operations plans, and assist as needed to…",http://indeed.com/rc/clk?jk=bfb88713068654bb&fccid=e14299c90c5f08eb&vjs=3
"Coordinator, Sample",Joe Fresh,"Toronto, ON",10 days ago,2021-01-21,,"Help assist Apparel team with incoming sample orders/requests as needed.
Accommodation is available upon request for applicants with disabilities in the…",http://indeed.com/rc/clk?jk=9b9f01a5162717a4&fccid=2dc8f3f34f39cefe&vjs=3
Smoothie Barista,Revitasize,"Aurora, ON",3 days ago,2021-01-21,$14.25 - $16.25 an hour,"Answer telephone in a fashionable manner, including giving store greetings, direction to store location as well as receiving and filling customer orders.",http://indeed.com/company/Revitasize-Aurora/jobs/Smoothie-Barista-ac2a6690cf1ab64a?fccid=c5998148889f8521&vjs=3
Social Strategist,Klick Health,"Toronto, ON",2 days ago,2021-01-21,,"These plans combine the strategist's knowledge of social communications, platform culture and policies, and brand tone to choose platforms, specify content…",http://indeed.com/rc/clk?jk=27a1994bbe2387c4&fccid=832aa6ee75eceac4&vjs=3
Receptionist,Providence Care,"Kingston, ON",1 day ago,2021-01-21,$19.45 - $20.56 an hour,"The receptionist is the first contact for visitors to Providence Manor and is expected to show hospitality and.
Typing, sorting mail, facsimiles and deliveries.",http://indeed.com/rc/clk?jk=06b7070434f21c7a&fccid=1b8ace2c1cec3c67&vjs=3
Seasonal Labourer - Environment & Parks Services,City of Waterloo,"Waterloo, ON",3 days ago,2021-01-21,,"Valid Class ‘G’ driver's license with a safe driving record.
Offers of employment will be conditional upon receipt of a satisfactory driver’s abstract check,…",http://indeed.com/rc/clk?jk=1a95ae3901e4b0ed&fccid=cc1fffe59b570af4&vjs=3
Buyer,Liburdi,"Dundas, ON",6 days ago,2021-01-21,,"Assisting with inquiries from internal customers.
Working with other departments and co-workers to ensure timely processing of purchase orders.",http://indeed.com/rc/clk?jk=08d1b2d5e5cbdd96&fccid=4d13a3e8ea4a0b74&vjs=3
Surveillance Officer,Canadian Security Intelligence Service,"Ottawa, ON",30+ days ago,2021-01-21,"$65,460 - $79,640 a year","A valid and permanent Canadian driver's license.
Permanent Canadian driver’s license is defined as a G Class (Ontario) or minimum of a Class 5 (remainder of…",http://indeed.com/rc/clk?jk=1c77fc07c01865b8&fccid=19150974fd7b2a28&vjs=3
Resident Support Aide (RSA),Responsive Group,"Niagara-on-the-Lake, ON",4 days ago,2021-01-21,$15 - $16 an hour,"Under the direction of Registered Nurses (RNs) and Registered Practical Nurses (RPNs), the Resident Support Aide assists in maintaining a safe and secure…",http://indeed.com/rc/clk?jk=08c35788ec4e694f&fccid=13e8e3d5df650c02&vjs=3
"assembler, plastics",PROSTAFF Employment Solutions,"Kingsville, ON",1 day ago,2021-01-21,$14.90 an hour,"Mark and re-route defective products for repair or recycle.
Inspect manufactured plastic products for defects and conformance to specifications and quality…",http://indeed.com/rc/clk?jk=0ea0c9e010c21f3b&fccid=2bd06fce50ba6f59&vjs=3
"Universal Banker - Orangeville, ON",Scotiabank,"Orangeville, ON",1 day ago,2021-01-21,,Training on digital tools and basic sales skills will be included to ensure you can provide the highest level of support to customers and the community.,http://indeed.com/rc/clk?jk=3452bbba51ac8882&fccid=3002307a9e5b4706&vjs=3
Helper - PFT - EVS - Oakville,Halton Healthcare Services,"Oakville, ON",Just posted,2021-01-21,$18.23 - $22.79 an hour,"As a member of the Environmental Services team, the Helper 1 will be primarily responsible for providing a clean and safe environment for patients, visitors and…",http://indeed.com/rc/clk?jk=4ca92840c10bebfd&fccid=630522f6c9525068&vjs=3
apple picker,Dunnett Orchards,"Brighton, ON",Today,2021-01-21,$14.39 an hour,"No degree, certificate or diploma.
Load, unload and transfer crates, supplies and farm produce, livestock and poultry.
Sort and pack fruits and vegetables.",http://indeed.com/rc/clk?jk=309366801629e2de&fccid=d3599d9df0451ec9&vjs=3
Full Time Warehouse Associate,Goodfood Market Corp.,"Mississauga, ON",2 days ago,2021-01-21,$15 an hour,"Inventory: responsible for moving ingredients from the receiving dock to the storage spaces to store them, as well as distributing the right ingredients…",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCn-txRsLg8wA5H91nsFwFfoLUt0dtMYTJY9GhVTcYKCRuoH-_Jcv6JgLM8L3p8MtCSRLlXDDrQ1xfjWSFCRb45mNO2gA-D36ZRW15hjD0HSLX6mQcy-vXAEQI-sFH39qdWLIhYlb0YQAWwdH8b0lJOGOARwgAoeKTS0VYOE4LSEdlLZxCT_z7LvFMcqRB8gcXSw3poE1DEy7UoCL8FYoKFafun6RpYU0-oHPQ63YWzcJf00fSvQZGeDsdimw8EXzq_5tldNUpcP8fyZgLAWDrKvjgTk97ggyiy6WABTk2Jiu6MVtrQw-FRXWMDBIrxYIbi4u152N6ebsmX8knVRNJlpxwmDOFnFCyZ2EUF6N-a661ecFP-UWP6I9iD3SfbbBlknv9R_18vmMqXQw-dTsW&p=13&fvj=0&vjs=3
Attendant - Seasonal - Recreation,City of Oshawa,"Oshawa, ON",3 days ago,2021-01-21,,"Must possess and maintain a valid First Aid and CPR certification.
Possession and maintenance of a valid Ontario Driver's License, minimum Class ""G"", in good…",http://indeed.com/rc/clk?jk=35585fa544214005&fccid=b3ca1633cc3d4090&vjs=3
